,No,Profile_ID,Date_time,Aspect,X_Coordinate,Y_Coordinate,Elevation,Slope_angle_degrees,RB_score,RB_release_type,RB_height_cm,FL_Grain_size_avg_mm,AL_Grain_size_avg_mm,SNPK_Index,HN24_cm,HN3d_cm,Accumulated_Snow_1d,Accumulated_Snow_3d,Accumulated_Snow_7d,Accumulated_Snow_14d,Wind_Induced_Accumulation_Magnitude_1d,Wind_Induced_Accumulation_Magnitude_3d,Wind_Induced_Accumulation_Magnitude_7d,Wind_Induced_Accumulation_Magnitude_14d,Wind_Induced_Accumulation_Aspect_1d,Wind_Induced_Accumulation_Aspect_3d,Wind_Induced_Accumulation_Aspect_7d,Wind_Induced_Accumulation_Aspect_14d,Average_Temperature_1d,Average_Temperature_3d,Average_Temperature_7d,Average_Temperature_14d,SD_Temperature_1d,SD_Temperature_3d,SD_Temperature_7d,SD_Temperature_14d,Sunshine_Percentage_1d,Sunshine_Percentage_3d,Sunshine_Percentage_7d,Sunshine_Percentage_14d
0,1.0,6781.0,2002-01-22 10:00:00,1.1780972450961724,790000.0,190070.0,2450.0,32.0,4.0,2.0,55.0,0.75,0.5,2.057,2.0,10.0,3.8000000000000003,1.2,0.0,0.0,69.7653990770466,144.17973599339874,0.0,0.0,2.8044996148126673,2.6149433096470847,0.0,0.0,-9.054166666666667,-14.520833333333334,-20.400000000000002,-20.263690476190476,1.91560619686022,2.995596650215136,2.468496239456428,2.1535217110372384,0.13399039351851852,0.13350497685185186,0.2973718460648148,0.2951811838624339
1,2.0,6802.0,2002-01-22 12:55:00,2.356194490192345,789915.0,190345.0,2270.0,40.0,5.0,2.0,46.0,1.0,1.0,2.446,0.0,8.0,2.3000000000000003,0.0,0.0,0.0,24.720585857768647,0.0,0.0,0.0,-1.9354053150489379,0.0,0.0,0.0,-7.4375,-12.833333333333334,-17.909375,-16.73690476190476,2.027594955692045,2.820844398503288,2.6630840105727835,2.32065857686915,0.13232523148148148,0.18975289351851854,0.3033250289351852,0.2977774305555555
2,3.0,6826.0,2002-01-23 10:15:00,1.5707963267948966,790820.0,189024.0,2422.0,33.0,6.0,3.0,45.0,2.0,0.75,1.8,0.0,5.0,0.0,5.0,0.0,0.0,0.0,213.10132470641867,0.0,0.0,0.0,2.6766687283644943,0.0,0.0,-13.145833333333334,-10.69375,-18.766666666666666,-20.245238095238093,1.9662321431051095,2.719621864360261,2.89310129233653,2.194789952816255,0.3360195601851852,0.17966684027777777,0.22975749421296296,0.302832671957672
3,4.0,6831.0,2002-01-23 13:15:00,0.0,790565.0,189770.0,2360.0,35.0,6.0,3.0,64.0,1.0,1.0,1.407,0.0,3.5,0.0,3.5000000000000004,0.0,0.0,0.0,82.51524754609129,0.0,0.0,0.0,2.5397637365180903,0.0,0.0,-12.033333333333331,-10.706249999999999,-18.342708333333334,-19.32916666666667,2.1592403387718817,2.849218351191421,3.105572064994981,2.6795154215289707,0.33628981481481485,0.18926730324074073,0.2426782986111111,0.3038522486772487
4,5.0,6814.0,2002-01-23 14:45:00,2.356194490192345,790663.0,190800.0,2450.0,37.0,3.0,1.0,47.0,1.0,1.0,2.153,0.0,5.0,0.0,5.0,0.0,0.0,0.0,213.10132470641867,0.0,0.0,0.0,2.6766687283644943,0.0,0.0,-13.345833333333331,-10.893749999999999,-18.96666666666667,-20.445238095238096,1.9662321431051089,2.719621864360261,2.89310129233653,2.1947899528162544,0.3360195601851852,0.17966684027777777,0.22975749421296296,0.302832671957672
5,6.0,6822.0,2002-01-23 15:45:00,2.356194490192345,790570.0,190765.0,2400.0,36.0,6.0,3.0,108.0,1.0,0.5,1.645,0.0,3.5,0.0,3.5000000000000004,0.0,0.0,0.0,82.51524754609129,0.0,0.0,0.0,2.5397637365180903,0.0,0.0,-12.333333333333334,-11.00625,-18.64270833333333,-19.629166666666666,2.1592403387718817,2.849218351191421,3.1055720649949814,2.6795154215289707,0.33628981481481485,0.18926730324074073,0.2426782986111111,0.3038522486772487
6,7.0,8377.0,2002-01-29 14:20:00,1.5707963267948966,778400.0,184885.0,2500.0,35.0,1.0,1.0,58.0,0.75,0.75,2.555,0.0,16.0,0.5,12.1,7.399999999999995,1.7,25.604786596368985,169.13903746034748,118.4750235147693,28.35693288665589,1.8053582854272294,2.8987651742440184,-2.453481936295032,-1.4925419957961044,-6.183333333333333,-7.2,-10.065624999999999,-17.071428571428573,2.5652640624592484,2.3145239848823658,3.167792793762011,4.369685211221377,0.32230868055555556,0.14628246527777777,0.17375306712962962,0.2583564814814815
7,8.0,6833.0,2002-02-12 09:30:00,1.9634954084936207,791297.0,188938.0,2495.0,36.0,5.0,3.0,40.0,2.0,1.0,2.543,2.0,24.0,4.8,12.699999999999996,24.700000000000003,0.1,166.17491628543382,625.6291733409488,92.23282430776857,5.0,2.6308329642820083,2.591702546698177,0.7962825228623135,1.186823891356144,-7.716666666666666,-8.197916666666666,-10.6125,-11.222619047619048,1.7317160794166417,1.2628049803670067,2.629278468165343,2.3901920946266753,0.125,0.13542609953703705,0.09342789351851852,0.24684682539682543
8,9.0,6841.0,2002-02-12 10:15:00,1.5707963267948966,791285.0,188934.0,2495.0,37.0,6.0,3.0,109.0,0.5,0.5,1.097,2.0,24.0,4.8,12.699999999999996,24.700000000000003,0.1,166.17491628543382,625.6291733409488,92.23282430776857,5.0,2.6308329642820083,2.591702546698177,0.7962825228623135,1.186823891356144,-7.716666666666666,-8.197916666666666,-10.6125,-11.222619047619048,1.7317160794166417,1.2628049803670067,2.629278468165343,2.3901920946266753,0.125,0.13542609953703705,0.09342789351851852,0.24684682539682543
9,10.0,6837.0,2002-02-12 11:20:00,1.9634954084936207,791190.0,188945.0,2490.0,32.0,3.0,1.0,75.0,1.0,0.5,2.391,2.0,24.0,4.8,12.699999999999996,24.700000000000003,0.1,166.17491628543382,625.6291733409488,92.23282430776857,5.0,2.6308329642820083,2.591702546698177,0.7962825228623135,1.186823891356144,-7.716666666666666,-8.197916666666666,-10.6125,-11.222619047619048,1.7317160794166417,1.2628049803670067,2.629278468165343,2.3901920946266753,0.125,0.13542609953703705,0.09342789351851852,0.24684682539682543
